type;n;swaps;cmps
insertion;10;20;29
insertion;10;30;39
insertion;10;11;20
insertion;10;16;25
insertion;10;16;25
insertion;10;10;19
insertion;10;22;31
insertion;10;16;25
insertion;10;15;24
insertion;10;15;24
insertion;10;16;25
insertion;10;21;30
insertion;10;26;35
insertion;10;10;19
insertion;10;25;34
insertion;10;21;30
insertion;10;17;26
insertion;10;20;29
insertion;10;22;31
insertion;10;27;36
insertion;10;21;30
insertion;10;15;24
insertion;10;19;28
insertion;10;20;29
insertion;10;25;34
insertion;10;16;25
insertion;10;26;35
insertion;10;14;23
insertion;10;18;27
insertion;10;26;35
insertion;10;17;26
insertion;10;7;16
insertion;10;19;28
insertion;10;28;37
insertion;10;31;40
insertion;10;10;19
insertion;10;12;21
insertion;10;19;28
insertion;10;19;28
insertion;10;19;28
insertion;10;24;33
insertion;10;28;37
insertion;10;29;38
insertion;10;26;35
insertion;10;31;40
insertion;10;21;30
insertion;10;27;36
insertion;10;25;34
insertion;10;27;36
insertion;10;11;20
insertion;10;21;30
insertion;10;22;31
insertion;10;25;34
insertion;10;22;31
insertion;10;21;30
insertion;10;20;29
insertion;10;20;29
insertion;10;28;37
insertion;10;22;31
insertion;10;24;33
insertion;10;12;21
insertion;10;32;41
insertion;10;23;32
insertion;10;21;30
insertion;10;23;32
insertion;10;30;39
insertion;10;17;26
insertion;10;22;31
insertion;10;33;42
insertion;10;29;38
insertion;10;23;32
insertion;10;26;35
insertion;10;14;23
insertion;10;22;31
insertion;10;22;31
insertion;10;21;30
insertion;10;24;33
insertion;10;26;35
insertion;10;22;31
insertion;10;29;38
insertion;10;23;32
insertion;10;16;25
insertion;10;15;24
insertion;10;27;36
insertion;10;21;30
insertion;10;23;32
insertion;10;20;29
insertion;10;19;28
insertion;10;16;25
insertion;10;12;21
insertion;10;18;27
insertion;10;13;22
insertion;10;28;37
insertion;10;23;32
insertion;10;22;31
insertion;10;22;31
insertion;10;27;36
insertion;10;16;25
insertion;10;24;33
insertion;10;17;26
insertion;20;100;119
insertion;20;82;101
insertion;20;104;123
insertion;20;102;121
insertion;20;82;101
insertion;20;88;107
insertion;20;89;108
insertion;20;96;115
insertion;20;103;122
insertion;20;91;110
insertion;20;103;122
insertion;20;91;110
insertion;20;78;97
insertion;20;105;124
insertion;20;95;114
insertion;20;97;116
insertion;20;114;133
insertion;20;89;108
insertion;20;101;120
insertion;20;92;111
insertion;20;109;128
insertion;20;85;104
insertion;20;110;129
insertion;20;123;142
insertion;20;75;94
insertion;20;89;108
insertion;20;127;146
insertion;20;118;137
insertion;20;59;78
insertion;20;94;113
insertion;20;108;127
insertion;20;89;108
insertion;20;99;118
insertion;20;101;120
insertion;20;87;106
insertion;20;93;112
insertion;20;96;115
insertion;20;67;86
insertion;20;79;98
insertion;20;97;116
insertion;20;103;122
insertion;20;111;130
insertion;20;106;125
insertion;20;95;114
insertion;20;97;116
insertion;20;94;113
insertion;20;84;103
insertion;20;80;99
insertion;20;89;108
insertion;20;79;98
insertion;20;88;107
insertion;20;89;108
insertion;20;109;128
insertion;20;71;90
insertion;20;107;126
insertion;20;85;104
insertion;20;84;103
insertion;20;92;111
insertion;20;74;93
insertion;20;99;118
insertion;20;96;115
insertion;20;92;111
insertion;20;95;114
insertion;20;60;79
insertion;20;108;127
insertion;20;97;116
insertion;20;99;118
insertion;20;79;98
insertion;20;82;101
insertion;20;91;110
insertion;20;127;146
insertion;20;102;121
insertion;20;74;93
insertion;20;83;102
insertion;20;96;115
insertion;20;102;121
insertion;20;82;101
insertion;20;94;113
insertion;20;92;111
insertion;20;85;104
insertion;20;90;109
insertion;20;100;119
insertion;20;95;114
insertion;20;96;115
insertion;20;86;105
insertion;20;119;138
insertion;20;67;86
insertion;20;69;88
insertion;20;92;111
insertion;20;105;124
insertion;20;84;103
insertion;20;56;75
insertion;20;99;118
insertion;20;110;129
insertion;20;114;133
insertion;20;110;129
insertion;20;102;121
insertion;20;95;114
insertion;20;101;120
insertion;20;78;97
insertion;30;251;280
insertion;30;170;199
insertion;30;230;259
insertion;30;187;216
insertion;30;208;237
insertion;30;188;217
insertion;30;213;242
insertion;30;198;227
insertion;30;215;244
insertion;30;189;218
insertion;30;261;290
insertion;30;210;239
insertion;30;247;276
insertion;30;217;246
insertion;30;209;238
insertion;30;185;214
insertion;30;204;233
insertion;30;224;253
insertion;30;165;194
insertion;30;220;249
insertion;30;268;297
insertion;30;237;266
insertion;30;195;224
insertion;30;186;215
insertion;30;164;193
insertion;30;153;182
insertion;30;259;288
insertion;30;190;219
insertion;30;179;208
insertion;30;228;257
